publishedAt,title,description,url,source
2025-06-11T19:51:26Z,Beat Tariff Price Hikes With Woot's Amazon Device Deals From as Little as $12,"From Echo Dots to Fire tablets, smart plugs, security cams and more, these discounted Amazon products can add plenty of convenience to your life.",https://www.cnet.com/deals/beat-tariffs-woot-amazon-devices-from-as-little-as-12/,"{'id': None, 'name': 'CNET'}"
2025-06-11T19:49:30Z,U.S. Evacuating Staff from Iraq; Voluntary Departure of Staff Families Across Mideast,"The U.S. is evacuating some diplomatic staff from its embassy in Iraq Wednesday, and allowing families and dependents of diplomats in Bahrain and other locations to return to the U.S., as negotiations with Iran stall. Breitbart News reported earlier Wednesday…",https://www.breitbart.com/national-security/2025/06/11/u-s-evacuating-staff-from-iraq-voluntary-departure-of-staff-families-across-mideast/,"{'id': 'breitbart-news', 'name': 'Breitbart News'}"
2025-06-11T19:46:55Z,Public sector AI demands more than technology: theCUBE’s in-depth analysis,"Artificial intelligence isn’t just making headlines; it’s reshaping the foundations of the public sector. From operational efficiencies to significant economic impacts, the integration of AI into government infrastructures fundamentally alters both strategy a…",https://siliconangle.com/2025/06/11/public-sector-ai-demands-transformation-technology-awssummit/,"{'id': None, 'name': 'SiliconANGLE News'}"
2025-06-11T19:46:24Z,"This Duracell rechargeable bundle with 6 AA, 2 AAA, and charger plunges to $13 (61% off)","If you head to Woot you can pick up the Duracell Ion Speed 1000 Charger along with 6 AA and 2 AAA rechargeable batteries for $12.99 shipped right now, beating out its current Amazon pricing by $12. Normally fetching $34 were it at full price, we’ve mainly see…",http://9to5toys.com/2025/06/11/duracell-rechargeable-bundle-13/,"{'id': None, 'name': '9to5Toys'}"
2025-06-11T19:44:43Z,NEWS: The Beach Boys’ Brian Wilson Has Passed Away,"Brian Wilson has sadly passed away at the age of 82.
The post NEWS: The Beach Boys’ Brian Wilson Has Passed Away appeared first on AllEars.Net.",https://allears.net/2025/06/11/the-beach-boys-brian-wilson-has-passed-away/,"{'id': None, 'name': 'allears.net'}"
2025-06-11T19:44:42Z,Best Portable Monitors To Take Your PS5 Games on the Road,"Not everyone has the luxury of playing PlayStation 5 games on a large 4K TV or the budget for buying a gaming monitor; if you travel often or lack the space for a proper gaming setup, then having the best portable monitor for PS5 is going to be extremely usef…",https://www.playstationlifestyle.net/2025/06/11/best-portable-monitors/,"{'id': None, 'name': 'PlayStation LifeStyle'}"
2025-06-11T19:44:33Z,This All-in-One Kitchen Appliance Can Do Just About Everything. And It's 17% Off Right Now,This versatile Chefman Everything Maker is down to $50 -- just in time for Father's Day weekend.,https://www.cnet.com/deals/this-all-in-one-kitchen-appliance-can-do-just-about-everything-and-its-17-off-right-now/,"{'id': None, 'name': 'CNET'}"
2025-06-11T19:44:05Z,"Amazon - Native Pet Probiotic for Dogs, 60 Scoops $15.74","Native Pet Probiotic for Dogs, 60 Scoops",https://www.dealcatcher.com/deals/household/pets/native-pet-probiotic-for-scoops-16101,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:43:32Z,Apple leads megacap losses,"A selloff in major tech stocks pulled markets lower, ending a three-day rally that had brought the S&P 500 close to its record highs…
The post Apple leads megacap losses appeared first on MacDailyNews.",https://macdailynews.com/2025/06/11/apple-leads-megacap-losses/,"{'id': None, 'name': 'Macdailynews.com'}"
2025-06-11T19:43:00Z,Transformers Fans Can Grab A Great Deal On Lego's Optimus Prime 2-In-1 Set,"Lego Icons: Optimus Prime Transformers 2-in-1 (1,508 Pieces) 
 $144 (was $180) 
See at Amazon See at Walmart See at Target 
The awesome Optimus Prime Lego set has been restocked at multiple major retailers, including Amazon, Walmart, and Target. And just l…",https://www.gamespot.com/articles/transformers-fans-can-grab-a-great-deal-on-legos-optimus-prime-2-in-1-set/1100-6509331/,"{'id': None, 'name': 'GameSpot'}"
2025-06-11T19:42:25Z,Amazon Business enters Australia’s $50 billion B2B ecommerce market,"Amazon has launched Amazon Business in Australia, expanding its global B2B marketplace into a market estimated to be worth A$76 billion (US$50 billion). The figure, cited by IbisWorld, reflects the growing size of Australia’s business-to-business ecommerce se…",https://www.digitalcommerce360.com/2025/06/11/amazon-business-enters-australia-b2b-ecommerce-market/,"{'id': None, 'name': 'DigitalCommerce360'}"
2025-06-11T19:42:20Z,"Amazon - JoyJolt 3-Compartment Meal Prep Containers, Set of 5 $31.46","JoyJolt 3-Compartment Meal Prep Containers, Set of 5",https://www.dealcatcher.com/deals/household/kitchen-appliances/joyjolt-meal-prep-containers-16114,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:41:00Z,"Save Up to to $1,000 on Our Favorite Pool Cleaners Thanks to Aiper Day Deals","Enjoy a clean, fresh summer pool with these deals on high-tech Aiper pool cleaners. But be sure to act fast.",https://www.cnet.com/deals/save-up-to-to-1000-on-our-favorite-pool-cleaners-thanks-to-aiper-day-deals/,"{'id': None, 'name': 'CNET'}"
2025-06-11T19:40:20Z,"G.I. Joe Classified Series Adds Sgt. Slaughter 2-Pack, Retros, and More","Hasbro cancelled their G.I. Joe Classified fanstream at the last minute today for some unknown reason, but Yo Joe June rolls on with pre-orders that include the Sgt Slaughter & Felix Mercer Stratton 2-pack and 6-inch Retro Cardback B.A.T. and Joe Trooper Gree…",http://comicbook.com/gear/news/g-i-joe-classified-series-adds-sgt-slaughter-2-pack-retros-and-more/,"{'id': None, 'name': 'ComicBook.com'}"
2025-06-11T19:40:00Z,Amazon Q Developer introduces Pro Tier upgrades for Builder IDs,"Amazon Q Developer now allows users with AWS Builder IDs to upgrade to the Pro Tier, giving them higher usage limits in their IDEs and on the command line interface. See here for Amazon Q Developer pricing and usage limit information. AWS Builder IDs enable d…",https://aws.amazon.com/about-aws/whats-new/2025/06/amazon-q-developer-pro-tier-upgrades-builder-ids,"{'id': None, 'name': 'Amazon.com'}"
2025-06-11T19:38:04Z,Amazon - American Soft Linen 6 Piece Towel Set $29.99,American Soft Linen 6 Piece Towel Set,https://www.dealcatcher.com/deals/household/bed-bath/american-soft-linen-piece-towel-set-16105,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:38:04Z,Amazon - BARK SPARK Advanced Calming Chews for Dogs $19.99,BARK SPARK Advanced Calming Chews for Dogs,https://www.dealcatcher.com/deals/household/pets/bark-spark-advanced-calming-chews-for-dogs-16106,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:38:04Z,Amazon - Dog Bed for Crates $17.99,Dog Bed for Crates,https://www.dealcatcher.com/deals/household/pets/dog-bed-for-dogs-16110,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:38:04Z,Amazon - Self-Seal Envelopes with Stickers,Self-Seal Envelopes with Stickers,https://www.dealcatcher.com/deals/computers-office/printers-ink/self-seal-envelopes-with-stickers-16108,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:38:04Z,Amazon - MKP Women's Backpack Purse $23.99,MKP Women's Backpack Purse,https://www.dealcatcher.com/deals/clothing-accessories/bags-luggage/mkp-backpack-purse-set-16107,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:38:04Z,Amazon - Earth Rated Dog Poop Bags $8.39,Earth Rated Dog Poop Bags,https://www.dealcatcher.com/deals/household/pets/earth-rated-dog-poop-bags-16111,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:34:40Z,Larsa Pippen details ‘draining’ Marcus Jordan relationship: ‘Thank God made it out’,The aftermath of Pippen's relationship will play out on Season 7.,https://nypost.com/2025/06/11/entertainment/larsa-pippen-details-draining-marcus-jordan-relationship-thank-god-made-it-out/,"{'id': None, 'name': 'New York Post'}"
2025-06-11T19:32:57Z,Milei: Argentina Moving Israel Embassy to Jerusalem in 2026,"Argentinian President Javier Milei announced Wednesday in an address to Israel's parliament, the Knesset, that his country would move its embassy in Israel from Tel Aviv to Jerusalem in 2026, following America's lead.
The post Milei: Argentina Moving Israel E…",https://www.breitbart.com/middle-east/2025/06/11/milei-argentina-moving-israel-embassy-to-jerusalem-in-2026/,"{'id': 'breitbart-news', 'name': 'Breitbart News'}"
2025-06-11T19:32:14Z,Lenovo ThinkStation P3 Tiny Gen 2 is a mini PC with up to Core Ultra 9 285 and NVIDIA RTX A1000,"The Lenovo ThinkStation P3 Tiny Gen 2 is a desktop computer that measures just 179 x 183 x 37mm (7″ x 7.2″ x 1.5″) and weighs just 1.4 kg (3 pounds). But while most mini PCs feature mobile chips designed for laptops, Lenovo’s second-gen P3 Tiny supports up to…",https://liliputing.com/lenovo-thinkstation-p3-tiny-gen-2-is-a-mini-pc-with-up-to-core-ultra-9-285-and-nvidia-rtx-a1000/,"{'id': None, 'name': 'Liliputing'}"
2025-06-11T19:29:59Z,Whole Foods tells customers of ‘temporary supply challenges’ after cyberattack leaves shelves bare,"In an internal memo obtained by the outlet, Whole Foods told staffers that the cyberattack on UNFI is its “ability to select and ship products from their warehouses.”",https://nypost.com/2025/06/11/business/whole-foods-tells-customers-of-temporary-supply-challenges/,"{'id': None, 'name': 'New York Post'}"
2025-06-11T19:27:31Z,Google adds Chief AI Architect to accelerate development of AI products,The role is a new one for the AI unit.,https://www.cnbc.com/2025/06/11/google-kavukcuoglu-chief-ai-architect.html,"{'id': None, 'name': 'CNBC'}"
2025-06-11T19:24:42Z,"Amazon is selling an 'amazing' $160 magnetic portable charger for only $27, and shoppers say it's 'perfect for on the go'","TheStreet aims to feature only the best products and services. If you buy something via one of our links, we may earn a commission.
One of the worst sights to see when traveling is your phone's low battery notification. You now have two options: You can eithe…",https://biztoc.com/x/43b51fc51cc734f4,"{'id': None, 'name': 'Biztoc.com'}"
2025-06-11T19:24:04Z,Amazon - GemsChest Sterling Silver Cubic Zirconia Slippers Necklace,GemsChest Sterling Silver Cubic Zirconia Slippers Necklace,https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/gemschest-sterling-silver-cubic-zirconia-slippers-necklace-16094,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:24:04Z,Amazon - Food Storage Containers $19.99,Food Storage Containers,https://www.dealcatcher.com/deals/household/kitchen-appliances/food-storage-containers-16096,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:22:04Z,Amazon - Rosemary Shampoo and Conditioner Set $19.99,Rosemary Shampoo and Conditioner Set,https://www.dealcatcher.com/deals/health-beauty/personal-care/rosemary-shampoo-and-conditioner-set-16086,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:22:04Z,Amazon - Homeries Multi-Purpose Cake Stand with Dome,Homeries Multi-Purpose Cake Stand with Dome,https://www.dealcatcher.com/deals/household/kitchen-appliances/homeries-multi-purpose-cake-stand-with-dome-16085,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:22:04Z,Amazon - Pair of Thieves Tapered Lounge Pants $24.49,Pair of Thieves Tapered Lounge Pants,https://www.dealcatcher.com/deals/clothing-accessories/mens/pair-of-thieves-tapered-lounge-pants-16093,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:22:04Z,Amazon - Homedawn Magazine Rack Nightstand $23.99,Homedawn Magazine Rack Nightstand,https://www.dealcatcher.com/deals/household/furniture-decor/homedawn-magazine-rack-nightstand-16090,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:22:00Z,Elon Musk Says Tesla's Robotaxi Service Will 'Tentatively' Kick Off June 22 in Austin,"The service will begin with Tesla's Model Y vehicles, rather than the Cybercab it unveiled last year.",https://www.cnet.com/roadshow/news/elon-musk-says-teslas-robotaxi-service-will-tentatively-kick-off-june-22-in-austin/,"{'id': None, 'name': 'CNET'}"
2025-06-11T19:19:43Z,Tulsi Gabbard: Trump administration used artificial intelligence (AI) to help determine which documents related to the assassination of former President Kennedy should remain classified.,TheHill.com trending: Live Updates: Trump Newsom Trump Tariffs Trump Immunity National Monuments sponsored: Content from Raft Content from Eli Lilly Technology Gabbard: AI used to decide continued JFK files’ classification by Miranda Nazzaro - 06/11/25 10:34 …,https://freerepublic.com/focus/f-news/4322443/posts,"{'id': None, 'name': 'Freerepublic.com'}"
2025-06-11T19:18:04Z,Amazon - RANDES Birthstone Rings for Women,RANDES Birthstone Rings for Women,https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/randes-birthstone-rings-for-women-16075,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:18:04Z,Amazon - Book of Rocks and Minerals $7.99,Book of Rocks and Minerals,https://www.dealcatcher.com/deals/games-entertainment/books-magazines/book-of-rocks-and-minerals-16079,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:18:04Z,Amazon - DecorRack Washcloths 12 Pack $9.99,DecorRack Washcloths 12 Pack,https://www.dealcatcher.com/deals/household/bed-bath/decorrack-washcloths-pack-16081,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:18:04Z,Amazon - KAISA Writing Pads $10.99,KAISA Writing Pads,https://www.dealcatcher.com/deals/grocery/paper-products/kaisa-writing-pads-16083,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:18:04Z,Amazon - Inflatable Slip and Slide $23.99,Inflatable Slip and Slide,https://www.dealcatcher.com/deals/games-entertainment/toys-hobbies/inflatable-slip-and-slide-16074,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:18:04Z,Amazon - Bare Babe Reusable Silicone Nipple Covers $6.99,Bare Babe Reusable Silicone Nipple Covers,https://www.dealcatcher.com/deals/health-beauty/personal-care/bare-babe-reusable-silicone-nipple-covers-16077,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:18:04Z,Amazon - SpaceAid Rotating Bookshelf $27.99,SpaceAid Rotating Bookshelf,https://www.dealcatcher.com/deals/household/furniture-decor/spaceaid-rotating-bookshelf-16078,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:18:04Z,Amazon - Loose Fit Diabetic Socks,Loose Fit Diabetic Socks,https://www.dealcatcher.com/deals/clothing-accessories/shoes/loose-fit-diabetic-socks-16082,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:17:33Z,6-pc Yasonic Shower Caddy Organizers (Black) $8.80,WdWkrTools via Amazon [amazon.com] has *6-Piece Yasonic Shower Caddy Organizers* (Black) on sale for $15.99 -* $7.20 off* when you apply promo code IVD27MYU *XWBB9T7K *at checkout = *$8.79*. Shipping...,https://slickdeals.net/f/18355483-6-pc-yasonic-shower-caddy-organizers-black-9-60,"{'id': None, 'name': 'Slickdeals.net'}"
2025-06-11T19:16:59Z,Hot deal: Buy the Sony WH-1000XM6 headphones and get a free $30 gift card!,"The Sony WH-1000XM6 headphones are the hottest headphones right now, but they are pricey! Take advantage of this offer while it lasts.",https://www.androidauthority.com/sony-wh-1000xm6-deal-3566673/,"{'id': None, 'name': 'Android Authority'}"
2025-06-11T19:16:04Z,Amazon - FANCIME Tahitian Pearl Necklace $49.99,FANCIME Tahitian Pearl Necklace,https://www.dealcatcher.com/deals/clothing-accessories/jewelry-watches/fancime-tahitian-pearl-necklace-16066,"{'id': None, 'name': 'Dealcatcher.com'}"
2025-06-11T19:16:04Z,Amazon - SMIRLY Charcuterie Board Set $39.99,SMIRLY Charcuterie Board Set,https://www.dealcatcher.com/deals/household/kitchen-appliances/smirly-charcuterie-board-set-16064,"{'id': None, 'name': 'Dealcatcher.com'}"
