company,negative,neutral,positive
ACHR,0,1,0
AI,2,3,1
AMD,1,0,1
AMD Soars,0,1,0
APPS,0,0,1
ASTS,0,2,4
Amazon,0,0,1
Apple,1,1,0
Armed Forces Ministry Reach Landmark Framework Agreement for Low Orbit Satellite Services,0,0,1
Aurora Innovations,0,1,0
BAY Miner,0,1,0
BITW,0,0,1
BULL,0,0,1
Brain - Quanta Magazine,0,0,1
CBI,0,0,1
Cenovus,1,0,0
Coinbase Launches Stablecoin Payments Service,0,0,1
DEI,0,1,0
DRock Cultural Exchange,0,0,1
Digital Ritual,0,0,1
Disney Leads,0,0,1
Duolingo’s 20B+ Valuation,0,1,0
EJ Financial Advisor,0,0,1
ESC & NBA Partner,0,1,0
EVERYTHING PUMP EXCEPT MY STOCK,0,0,1
Eli Lilly Agrees,0,0,1
Elon Reveals,0,0,1
Enphase Energy,0,1,0
Eutelsat,0,0,2
Fed,1,0,1
GD,0,0,1
GIA,0,0,1
Google,0,0,1
ICE,0,0,1
IPO,0,1,1
Investing & Trying,0,0,1
Joyas Business Agency,0,0,1
Kremlin,1,0,0
LCD iPhone,0,1,0
LMT,1,0,0
MSFT,0,0,1
MSM Malaysia Holdings Berhad,0,1,0
Madison Pacific Properties,0,0,2
Marvel,0,1,0
McIntosh Honors,0,1,0
Metro Healthcare Berhad's,1,0,0
Microsoft & AMD,0,1,0
NBA-Walter's,0,1,0
NDP,0,0,1
NYC,0,0,1
New Sea Spider Species Feast on Methane Bacteria,0,0,1
OKLO Inc,0,0,1
OSCR  🚀,0,0,1
Oakley,0,0,1
Oracle,0,1,0
PMCC,0,0,1
Perpetua Resources Hosted,0,1,0
Pokemon,0,0,1
Publishers Facing Existential Threat,1,0,0
PureCycle,0,1,0
Quanta,0,0,1
RIP GOOG LEAPS,0,0,1
RM0.08,0,0,1
Roth-IRA Contributions Pull,0,0,1
S&P500,0,0,1
SBUX,0,0,1
SPY,0,0,2
SPY Credit Spreads,0,0,1
SPY Credit Spreads - Please Come Tell Me I Am Fully Regarded,0,0,1
Samsung Electronics Amid AI-Driven Rally,0,1,0
Senate,0,0,1
Summer Block Party,0,0,1
Sunrun -35%,0,0,1
Sutskever,0,0,2
TMC,0,1,0
TSMC,0,1,0
TechCrunch,0,0,1
Tesla,0,0,1
Texas Instruments Unleashes,0,0,1
The Genius ACT,0,1,0
Thoughts and Advice,0,0,1
Trump,2,0,1
UNH,0,0,1
UTMA,0,0,1
Verve,0,1,0
Visa/Mastercard,1,0,0
Voyager Technologies,0,0,1
White House,0,0,1
XAR,0,0,1
r/Stocks Daily Discussion & Options,0,0,1
